site_id,survey_id,treatment,indicator,count,common_name,species,origin,family,type,mean_length,max_length,min_length
C-CSS23-BI-01,S1,hive,TRUE,16,Diadema setosum,Diadema setosum,"(Leske, 1778)",Diadematidae ,Invert,,,
C-CSS23-BI-01,S1,hive,FALSE,1,Short silverbiddy,Gerres spp.,"(Bloch, 1791)",Gerreidae,Fish,8,,
C-CSS23-BI-01,S1,hive,TRUE,1,Pennant coralfish,Heniochus acuminatus,"(Linnaeus, 1758)",Chaetodontidae,Fish,8,,
C-CSS23-BI-01,S1,hive,TRUE,1,Banded coral shrimp,Stenopus hispidus,,Stenopodidae,Invert,,,
C-CSS23-BI-01,S1,control,FALSE,4,Yellowtail clownfish,Amphiprion clarkii,"(Bennett, 1830)",Pomacentridae,Fish,8,,
C-CSS23-BI-01,S1,control,FALSE,10,Chinese demoiselle,Neopomacentrus bankieri,"(Richardson, 1846)",Pomacentridae,Fish,4,3,5
C-CSS23-BI-01,S1,control,FALSE,45,Regal demoiselle,Neopomacentrus cyanomos,"(Bleeker, 1856)",Pomacentridae,Fish,6,5,7
C-CSS23-BI-01,S1,control,TRUE,1,Mirror butterflyfish,Chaetodon speculum,"(Cuvier, 1831)",Chaetodontidae,Fish,10,,
C-CSS23-BI-01,S1,control,TRUE,2,Eightband butterflyfish,Chaetodon octofasciatus,"(Bloch, 1787)",Chaetodontidae,Fish,5,4,6
C-CSS23-BI-01,S1,control,TRUE,1,Moon wrasse,Thalassoma lunare,"(Linnaeus, 1758)",Labridae,Fish,6,,
C-CSS23-BI-01,S1,control,FALSE,1,False stonefish,Scorpaenopsis diabolus,"(Cuvier, 1829)",Scorpaenidae,Fish,15,,
C-CSS23-BI-01,S1,control,FALSE,1,Bubblefin wrasse,Halichoeres nigrescens,"(Bloch & Schneider, 1801)",Labridae,Fish,8,,
C-CSS23-BI-01,S1,control,TRUE,15,Diadema setosum,Diadema setosum,"(Leske, 1778)",Diadematidae ,Invert,,,
